"BehaviorSpace results (NetLogo 5.3)"
"Fire_behaviour_space_edit.nlogo"
"experiment_density"
"01/27/2016 10:26:25:789 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63"
"density","0","0","0","5","5","5","10","10","10","15","15","15","20","20","20","25","25","25","30","30","30","35","35","35","40","40","40","45","45","45","50","50","50","55","55","55","60","60","60","65","65","65","70","70","70","75","75","75","80","80","80","85","85","85","90","90","90","95","95","95","100","100","100"
"[reporter]","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned"
"[final]","<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.408997955010225","0.3930199654142431","0.4918292876408059","0.41414463204842306","0.43916023993144815","0.3580832016850974","0.5034216943286399","0.5185067007019784","0.5061289047054172","0.6704617330803289","0.6192543411644535","0.714918385423257","0.7098254789987725","0.6632355282007747","0.6453333333333333","0.9753663294469899","0.8011587380618296","0.9965870307167236","0.8335648791330925","1.132583557738001","0.952950558213716","1.2212719529792702","1.2670772280031146","1.7729360247783832","2.7079550160884387","1.9096666879918112","2.075495759739846","6.761791975968342","6.309906466278632","7.526168574641715","40.01750616694517","39.619739598525626","50.15994028895879","91.74175274094694","87.27501046462956","89.2355732585872","98.13936519518424","98.11702635708276","97.73375630463063","99.25649765658288","99.31946748330569","99.33204280031484","99.81700646444554","99.79672366375702","99.73477445858094","99.90812442577766","99.9344839204822","99.94760184890619","99.98056811758056","99.9929228591649","99.99113883670648","100","100","100","100","100","100"
"[min]",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]",,,,"0.30864197530864196","0.34987277353689566","0.31645569620253167","0.408997955010225","0.3930199654142431","0.4918292876408059","0.41414463204842306","0.43916023993144815","0.3580832016850974","0.5034216943286399","0.5185067007019784","0.5061289047054172","0.6704617330803289","0.6192543411644535","0.714918385423257","0.7098254789987725","0.6632355282007747","0.6453333333333333","0.9753663294469899","0.8011587380618296","0.9965870307167236","0.8335648791330925","1.132583557738001","0.952950558213716","1.2212719529792702","1.2670772280031146","1.7729360247783832","2.7079550160884387","1.9096666879918112","2.075495759739846","6.761791975968342","6.309906466278632","7.526168574641715","40.01750616694517","39.619739598525626","50.15994028895879","91.74175274094694","87.27501046462956","89.2355732585872","98.13936519518424","98.11702635708276","97.73375630463063","99.25649765658288","99.31946748330569","99.33204280031484","99.81700646444554","99.79672366375702","99.73477445858094","99.90812442577766","99.9344839204822","99.94760184890619","99.98056811758056","99.9929228591649","99.99113883670648","100","100","100","100","100","100"
"[mean]",,,,"0.2865961199294533","0.32488186114140316","0.2938517179023508","0.37950291017775684","0.3657705811455223","0.45007807476807216","0.3836147393012636","0.4070265638389032","0.33043707214323326","0.46316646693287566","0.4795600435451783","0.46609331751680494","0.6065078361093539","0.560789742486963","0.6486385519664021","0.6457810748785822","0.5987690348596593","0.5852121212121212","0.8508823662840814","0.7264744489204725","0.8775123246113009","0.7502083912197832","0.9869090991378339","0.8534228928965769","1.056074684123464","1.0924300007566823","1.4750956696269346","2.042057668232442","1.5971321557976281","1.7312624427015804","5.168828167874988","4.7775928933083005","5.386458229032649","20.809093836334494","21.03915057695124","21.632896178399196","45.07520712194362","42.877678775051564","44.495903161783","51.06840935011065","52.76735795463194","51.750231326651424","54.17983570718448","52.64902109520333","52.87873002004283","53.190243305830855","53.08226338829241","52.710430818881825","52.659294564277026","53.18757142521745","53.04876358442681","52.959791678277654","52.9767351454801","53.34206646774028","52.83777255954378","52.74971622113081","52.77687840767659","52.28136882129278","52.28136882129278","52.28136882129278"
"[steps]","12","12","12","13","13","13","15","14","18","15","14","15","16","16","15","17","18","20","24","19","21","24","21","23","29","27","25","31","28","52","53","43","35","125","168","198","350","350","350","350","350","350","348","350","350","335","325","327","308","308","306","292","294","294","283","283","286","274","273","273","262","262","262"

"[all run data]","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned"
,"<EngineException>","<EngineException>","<EngineException>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
