"BehaviorSpace results (NetLogo 5.3)"
"Virus.nlogo"
"experiment"
"01/27/2016 11:08:48:370 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","duration","infectiousness","chance-recover","[step]","count turtles"
"1","10","10","0","0","150"
"1","10","10","0","1","150"
"1","10","10","0","2","149"
"3","10","10","0","0","150"
"1","10","10","0","3","149"
"3","10","10","0","1","150"
"1","10","10","0","4","149"
"4","10","25","0","0","150"
"3","10","10","0","2","150"
"1","10","10","0","5","149"
"3","10","10","0","3","150"
"1","10","10","0","6","149"
"4","10","25","0","1","150"
"1","10","10","0","7","149"
"3","10","10","0","4","150"
"4","10","25","0","2","150"
"1","10","10","0","8","149"
"3","10","10","0","5","149"
"4","10","25","0","3","150"
"1","10","10","0","9","149"
"3","10","10","0","6","149"
"4","10","25","0","4","150"
"1","10","10","0","10","149"
"3","10","10","0","7","149"
"4","10","25","0","5","150"
"3","10","10","0","8","149"
"1","10","10","0","11","139"
"1","10","10","0","12","139"
"4","10","25","0","6","150"
"3","10","10","0","9","149"
"3","10","10","0","10","149"
"1","10","10","0","13","139"
"4","10","25","0","7","150"
"2","10","10","0","0","150"
"1","10","10","0","14","139"
"4","10","25","0","8","150"
"1","10","10","0","15","139"
"3","10","10","0","11","140"
"4","10","25","0","9","150"
"1","10","10","0","16","139"
"3","10","10","0","12","140"
"4","10","25","0","10","150"
"1","10","10","0","17","139"
"3","10","10","0","13","140"
"4","10","25","0","11","140"
"3","10","10","0","14","140"
"4","10","25","0","12","139"
"3","10","10","0","15","140"
"1","10","10","0","18","139"
"1","10","10","0","19","139"
"4","10","25","0","13","139"
"3","10","10","0","16","140"
"1","10","10","0","20","139"
"2","10","10","0","1","150"
"4","10","25","0","14","139"
"3","10","10","0","17","140"
"1","10","10","0","21","139"
"1","10","10","0","22","139"
"4","10","25","0","15","139"
"1","10","10","0","23","139"
"3","10","10","0","18","140"
"1","10","10","0","24","139"
"4","10","25","0","16","138"
"1","10","10","0","25","139"
"3","10","10","0","19","140"
"1","10","10","0","26","139"
"4","10","25","0","17","136"
"1","10","10","0","27","139"
"3","10","10","0","20","140"
"1","10","10","0","28","139"
"1","10","10","0","29","139"
"3","10","10","0","21","140"
"4","10","25","0","18","135"
"1","10","10","0","30","139"
"3","10","10","0","22","140"
"1","10","10","0","31","139"
"4","10","25","0","19","135"
"1","10","10","0","32","139"
"3","10","10","0","23","140"
"1","10","10","0","33","139"
